"Order ID","User Name","Contact No",Email,Address,City,State,Pincode,Amount
Test100001,Test,9876542310,sunil@canbrand.in,"test testtetetee","New Delhi",Delhi,110059,80.00
Test100366,,,,,,,,80.00
Test100367,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test100368,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test100369,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test100370,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test100371,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test100372,,,,,,,,80.00
d100373,,,,,,,,80.00
ORD100374,,,,,,,,80.00
ORD100375,,,,,,,,80.00
ORD100376,,,,,,,,80.00
ORD100377,,,,,,,,80.00
ORD100378,,,,,,,,80.00
ORD100379,,,,,,,,80.00
ORD100380,,,,,,,,80.00
ORD100381,,,,,,,,80.00
ORD100382,,,,,,,,80.00
ORD100383,,,,,,,,80.00
ORD100384,,,,,,,,80.00
ORD385,,,,,,,,80.00
ORD386,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
ORD387,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT388,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT389,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT390,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT391,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT100392,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT394,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT395,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT396,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT398,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT399,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT400,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT401,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT402,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT403,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT404,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT405,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT406,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT407,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
Test408,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test409,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test410,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test411,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test412,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test413,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test414,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test415,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
GRT416,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT417,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
Test418,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
GRT419,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT420,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
Test421,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test422,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test427,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test428,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test429,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test430,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test431,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test432,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,170.00
Test433,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,250.00
Test434,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,170.00
GRT436,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT437,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
Test438,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,180.00
Test439,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,170.00
Test440,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,90.00
Test441,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,90.00
Test442,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,90.00
Test443,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,590.00
Test444,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,680.00
Test445,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,770.00
Test446,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,320.00
Test447,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,90.00
Test448,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,180.00
Test449,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,240.00
Test450,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,160.00
Test451,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,270.00
Test452,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,160.00
Test453,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,160.00
Test454,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,170.00
Test455,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,270.00
Test456,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,180.00
Test457,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,360.00
Test458,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,270.00
GRT459,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
Test460,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,160.00
Test461,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,430.00
Test462,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,430.00
Test463,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,160.00
Test464,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,580.00
GRT465,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
Test466,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,260.00
Test467,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,160.00
Test468,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,450.00
GRT469,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
Test470,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,80.00
Test471,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,160.00
Test472,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,160.00
GRT473,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT474,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT475,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT476,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT477,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
Test478,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,160.00
GRT479,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT480,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT481,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT482,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT483,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT484,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT485,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT486,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT487,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT488,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT489,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT490,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT491,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT492,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT493,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT494,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT495,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT496,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT497,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT498,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
GRT499,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,440.00
Test500,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,362.00
Test501,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,362.00
Test502,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,362.00
Test503,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,90.00
Test504,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,90.00
Test505,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,90.00
Test506,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,90.00
Test507,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,90.00
Test508,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,90.00
Test509,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,90.00
Test510,retailer2,8982232323,retailer2@canbrand.in,,"new delhi",delhi,,90.00
